OptionID,类型号码,名称,说明,最小值,最大值,等级需求,属性等级,AvailableOn,Avgrade,OpMultiple,属性分类
2501,25,bonus_firedmg, 火属性攻击,1,3,0,3,431,3,0,10
2701,27,bonus_lightdmg, 电属性攻击,1,3,0,3,431,3,0,10
3501,35,bonus_weightmax, 负重最大值,10,12,0,3,19968,3,0,13
2601,26,bonus_waterdmg, 水属性攻击,1,3,0,3,431,3,0,10
2801,28,bonus_poisondmg, 毒属性攻击,1,3,0,3,431,3,0,10
3001,30,bonus_hpmax, HP 最大值,2,5,0,3,247808,3,0,11
4301,43,bonus_hpspd, % HP 恢复力,2,5,0,3,245760,3,0,15
3101,31,bonus_mpmax, MP 最大值,2,5,0,3,235600,3,0,12
3201,32,bonus_weight, % 负重最大值,2,10,0,3,19968,3,0,13
4401,44,bonus_mpspd, % MP 恢复力,2,5,0,3,233552,3,0,16
4772,47,bonus_ind_attd, 攻击力,2,6,0,5,431,7,0,2
2341,23,bonus_resipoiso, 毒抵抗力,1,3,0,5,163328,7,0,9
4571,45,bonus_ind_def, 防御力,1,5,0,5,32256,7,0,2
551,5,bonus_defrate, 最终防御成功率,1,6,0,5,229376,7,0,5
552,5,bonus_defrate, 最终防御成功率,2,9,0,5,229376,7,0,5
651,6,bonus_def, 最终防御力,1,5,0,5,229376,7,0,4
652,6,bonus_def, 最终防御力,2,10,0,5,229376,7,0,4
2441,24,bonus_allresi, 所有抵抗力,1,2,0,5,98304,7,0,9
7001,70,op_dmgneu, % 攻击无效,1,3,0,5,40960,3,0,19
6701,67,op_elite, % 对怪物的攻击效果加强,3,5,0,5,511,3,0,18
4771,47,bonus_ind_attd, 攻击力,1,3,0,5,431,7,0,2
6501,65,op_venom, %对暴戾怪的攻击效果加强,5,10,0,5,511,3,0,18
4871,48,bonus_ind_defrate, 防御成功率,1,3,0,5,261632,7,0,1
252,2,bonus_attdphy, 最终攻击力,2,9,0,5,229376,7,0,4
2041,20,bonus_resifire, 火抵抗力,1,3,0,5,163328,7,0,9
3301,33,bonus_hpmaxp, % HP 最大值,1,4,0,5,49152,3,0,11
6601,66,op_mad, %对狂暴怪的攻击效果加强,5,10,0,5,511,3,0,18
2141,21,bonus_resiwater, 水抵抗力,1,3,0,5,163328,7,0,9
3402,34,bonus_mpmaxp, % MP 最大值,1,4,0,5,98384,3,0,12
2241,22,bonus_resilight, 闪电抵抗力,1,3,0,5,163328,7,0,9
3302,33,bonus_hpmaxp, % HP 最大值,1,4,0,5,49152,3,0,11
251,2,bonus_attdphy, 最终攻击力,1,6,0,5,229376,7,0,4
3401,34,bonus_mpmaxp, % MP 最大值,1,4,0,5,98384,3,0,12
351,3,bonus_attdmag, 魔法攻击力,1,6,0,5,229456,7,0,4
152,1,bonus_attrate, 最终攻击成功率,2,9,0,5,229376,7,0,6
4671,46,bonus_ind_attrate, 攻击成功率,1,3,0,5,229807,7,0,1
151,1,bonus_attrate, 最终攻击成功率,1,6,0,5,229376,7,0,6
8301,83,bonus_final_mag, % 魔法攻击力,4,6,0,5,98304,6,0,4
8501,85,bonus_final_def, % 最终防御力,2,5,0,5,65536,6,0,4
8601,86,op_death, % 对残忍怪的攻击效果加强,3,6,0,5,511,3,0,18
8151,81,bonus_final_attrate, % 最终攻击成功率,4,6,0,5,98304,6,0,6
8401,84,bonus_final_defrate, % 最终防御成功率,5,11,0,5,65536,6,0,5
8201,82,bonus_final_attd, % 最终攻击力,4,6,0,5,98304,6,0,4
8351,83,bonus_final_mag, % 魔法攻击力,4,6,0,5,98304,6,0,4
8251,82,bonus_final_attd, % 最终攻击力,4,6,0,5,98304,6,0,4
8101,81,bonus_final_attrate, % 最终攻击成功率,4,6,0,5,98304,6,0,6
11009,82,bonus_final_attd, % 最终攻击力,80,80,0,5,98304,6,0,4
11012,82,bonus_final_attd, % 最终攻击力,120,120,0,5,98304,6,0,4
3102,31,bonus_mpmax, MP 最大值,3,7,0,6,235600,3,0,12
4302,43,bonus_hpspd, % HP 恢复力,3,6,0,6,245760,3,0,15
1301,13,bonus_int, 智慧,1,1,0,6,235610,3,0,8
1101,11,bonus_dex, 敏捷,1,1,0,6,231305,3,0,8
3002,30,bonus_hpmax, HP 最大值,3,7,0,6,247808,3,0,11
2502,25,bonus_firedmg, 火属性攻击,2,4,0,6,431,3,0,10
1201,12,bonus_con, 体力,1,1,0,6,261632,3,0,8
2702,27,bonus_lightdmg, 电属性攻击,2,4,0,6,431,3,0,10
3202,32,bonus_weight, % 负重最大值,3,11,0,6,19968,3,0,13
4402,44,bonus_mpspd, % MP 恢复力,3,6,0,6,233552,3,0,16
2602,26,bonus_waterdmg, 水属性攻击,2,4,0,6,431,3,0,10
401,4,bonus_critic, 必杀技成功率,1,2,0,6,32768,3,0,2
2802,28,bonus_poisondmg, 毒属性攻击,2,4,0,6,431,3,0,10
1001,10,bonus_str, 力量,1,1,0,6,232062,3,0,8
1401,14,bonus_allatr, 所有能力值,1,1,0,6,231504,3,0,8
3502,35,bonus_weightmax, 负重最大值,13,15,0,6,19968,3,0,13
1102,11,bonus_dex, 敏捷,1,1,0,9,231305,3,0,8
1302,13,bonus_int, 智慧,1,1,0,9,235610,3,0,8
4403,44,bonus_mpspd, % MP 恢复力,4,7,0,9,233552,3,0,16
3003,30,bonus_hpmax, HP 最大值,5,9,0,9,247808,3,0,11
2703,27,bonus_lightdmg, 电属性攻击,3,5,0,9,431,3,0,10
2803,28,bonus_poisondmg, 毒属性攻击,3,5,0,9,431,3,0,10
2503,25,bonus_firedmg, 火属性攻击,3,5,0,9,431,3,0,10
1002,10,bonus_str, 力量,1,1,0,9,232062,3,0,8
4303,43,bonus_hpspd, % HP 恢复力,4,7,0,9,245760,3,0,15
3503,35,bonus_weightmax, 负重最大值,16,18,0,9,19968,3,0,13
2603,26,bonus_waterdmg, 水属性攻击,3,5,0,9,431,3,0,10
1202,12,bonus_con, 体力,1,1,0,9,261632,3,0,8
3203,32,bonus_weight, % 负重最大值,4,12,0,9,19968,3,0,13
3103,31,bonus_mpmax, MP 最大值,5,9,0,9,235600,3,0,12
1402,14,bonus_allatr, 所有能力值,1,1,0,9,231504,3,0,8
402,4,bonus_critic, 必杀技成功率,2,3,0,9,32768,3,0,2
153,1,bonus_attrate, 最终攻击成功率,3,12,0,10,229376,7,0,6
7002,70,op_dmgneu, % 攻击无效,1,3,0,10,40960,3,0,19
4773,47,bonus_ind_attd, 攻击力,3,9,0,10,431,7,0,2
2042,20,bonus_resifire, 火抵抗力,2,4,0,10,163328,7,0,9
4572,45,bonus_ind_def, 防御力,2,10,0,10,32256,7,0,2
2242,22,bonus_resilight, 闪电抵抗力,2,4,0,10,163328,7,0,9
352,3,bonus_attdmag, 魔法攻击力,2,9,0,10,229456,7,0,4
6502,65,op_venom, %对暴戾怪的攻击效果加强,6,12,0,10,511,3,0,18
6702,67,op_elite, % 对怪物的攻击效果加强,3,6,0,10,511,3,0,18
2442,24,bonus_allresi, 所有抵抗力,2,3,0,10,98304,7,0,9
653,6,bonus_def, 最终防御力,3,15,0,10,229376,7,0,4
6602,66,op_mad, %对狂暴怪的攻击效果加强,6,12,0,10,511,3,0,18
4672,46,bonus_ind_attrate, 攻击成功率,2,6,0,10,229807,7,0,1
4872,48,bonus_ind_defrate, 防御成功率,2,6,0,10,261632,7,0,1
553,5,bonus_defrate, 最终防御成功率,3,12,0,10,229376,7,0,5
